,school_name,school_type,addr
233,태강삼육초등학교,사립,서울특별시 노원구 화랑로 815 . 태강삼육초등학교 (공릉동)
234,화랑초등학교,사립,서울특별시 노원구 화랑로 621 . 서울여자대학교 (공릉동)
235,서울갈현초등학교,공립,서울특별시 은평구 연서로29길 31 . 갈현초등학교 (갈현동)
236,서울구산초등학교,공립,서울 은평구 서오릉로15길 16 (구산동.서울구산초등학교)
237,서울구현초등학교,공립,서울특별시 은평구 갈현로15길 51 (구산동.구현초등학교)
238,서울녹번초등학교,공립,서울특별시 은평구 녹번로1길 1 . 서울녹번초등학교(녹번동. 서울녹번초등학교)
239,서울대은초등학교,공립,서울특별시 은평구 통일로69길 12-15 . 서울대은초등학교 (대조동)
240,서울대조초등학교,공립,서울특별시 은평구 연서로18길 17 (대조동)
241,서울북한산초등학교,공립,서울특별시 은평구 대서문길 42-3 . 서울북한산초등학교 (진관동)
242,서울불광초등학교,공립,서울특별시 은평구 불광로 51 . 서울불광초등학교 (불광동.불광초등학교)
243,서울상신초등학교,공립,서울특별시 은평구 가좌로 361 (신사동)
244,서울서신초등학교,공립,서울특별시 은평구 은평터널로 150 (신사동)
245,서울수리초등학교,공립,서울특별시 은평구 불광로14길 10-10 (불광동)
246,서울수색초등학교,공립,서울특별시 은평구 수색로16길 21 (수색동)
247,서울신도초등학교,공립,서울특별시 은평구 진관1로 77-23 . 서울신도초등학교 (진관동)
248,서울신사초등학교,공립,서울특별시 은평구 가좌로 275-2 . 서울신사초등학교 (신사동)
249,서울어울초등학교,공립,서울특별시 은평구 통일로 650 . 서울어울초등학교 (녹번동)
250,서울역촌초등학교,공립,서울특별시 은평구 은평로3길 25 . 서울역촌초등학교 (역촌동.서울역촌초등학교)
251,서울연광초등학교,공립,서울특별시 은평구 연서로35길 37 (불광동.연광초등학교)
252,서울연신초등학교,공립,서울특별시 은평구 연서로 347 (불광동)
253,서울연은초등학교,공립,서울특별시 은평구 백련산로2길 35 . 서울연은초등학교 (응암동)
254,서울연천초등학교,공립,서울특별시 은평구 연서로34길 22 연천초등학교 (불광동)
255,서울은명초등학교,공립,서울특별시 은평구 은평로4길 21-9 . 서울은명초등학교 (응암동)
256,서울은빛초등학교,공립,서울특별시 은평구 진관3로 73-17 (진관동)
257,서울은진초등학교,공립,서울특별시 은평구 진관1로 21-20 . 은진초등학교 (진관동)
258,서울은평초등학교,공립,서울특별시 은평구 은평로 239 (녹번동)
259,서울응암초등학교,공립,서울특별시 은평구 가좌로6길 20 . 서울응암초등학교 (응암동)
260,서울증산초등학교,공립,서울특별시 은평구 증산서길 61 (증산동)
261,서울진관초등학교,공립,서울특별시 은평구 진관4로 78-16 (진관동.진관초등학교)
262,선일초등학교,사립,서울특별시 은평구 갈현로29길 27 . 선일초등학교 (갈현동)
263,예일초등학교,사립,서울특별시 은평구 연서로 117 (구산동. 예일초둥학교)
264,충암초등학교,사립,서울특별시 은평구 가좌로5길 5 . 충암초등학교 (응암동)
265,경기초등학교,사립,서울특별시 서대문구 경기대로9길 10 (충정로2가)
266,명지초등학교,사립,서울특별시 서대문구 명지2길 32-20 (홍은동)
267,서울가재울초등학교,공립,서울특별시 서대문구 모래내로15길 61 (남가좌동)
268,서울고은초등학교,공립,서울특별시 서대문구 모래내로 441 (홍제동. 서울고은초등학교)
269,서울금화초등학교,공립,서울특별시 서대문구 통일로 165 (천연동.서울금화초등학교)
270,서울대신초등학교,공립,서울특별시 서대문구 이화여대2길 27 (대현동. 서울대신초등학교)
271,서울미동초등학교,공립,서울특별시 서대문구 충정로 52 (미근동. 서울미동초등학교)
272,서울북가좌초등학교,공립,서울특별시 서대문구 거북골로19길 20 (북가좌동. 서울북가좌초등학교)
273,서울북성초등학교,공립,서울특별시 서대문구 북아현로1나길 22 (북아현동. 북성초등학교)
274,서울안산초등학교,공립,서울특별시 서대문구 통일로 321 (홍제동)
275,서울연가초등학교,공립,서울특별시 서대문구 증가로12가길 49-50 (남가좌동. 서울연가초등학교)
276,서울연희초등학교,공립,서울특별시 서대문구 연희로 136 (연희동. 서울연희초등학교)
277,서울인왕초등학교,공립,서울특별시 서대문구 세무서길 33-9 (홍제동.서울인왕초등학교)
278,서울창서초등학교,공립,서울 서대문구 연세로5나길 30-3 (창천동.서울창서초등학교)
279,서울홍연초등학교,공립,서울특별시 서대문구 백련사길 55 . 서울홍연초등학교 (홍은동)
280,서울홍은초등학교,공립,서울특별시 서대문구 세검정로 105 . 홍제동.서울홍은초등학교 (홍제동)
281,서울홍제초등학교,공립,서울특별시 서대문구 홍은중앙로 13 . 서울홍제초등학교 (홍은동)
282,이화여자대학교사범대학부속초등학교,사립,서울특별시 서대문구 성산로 512-39 (대신동)
